method,config_label,param_family,problem_id,problem,n,x0_label,tau,rho,beta,eta,zeta,alpha_min,alpha_max,lambda0,gamma,c,zeta1,zeta2,eps,maxiter,converged,status,restarts,iterations,f_evals,residual,cpu_time
SOPP,tau=0.1,tau,2,P2,10000,0.4,0.10000000000000001,0.80000000000000004,0.5,,0.0001,0.10000000000000001,2,1,1.1000000000000001,3,1,1,9.9999999999999994e-12,2000,true,converged_projected,0,19,39,9.3693454540741659e-12,0.091558299999999995
SOPP,tau=0.1,tau,2,P2,10000,0.5,0.10000000000000001,0.80000000000000004,0.5,,0.0001,0.10000000000000001,2,1,1.1000000000000001,3,1,1,9.9999999999999994e-12,2000,true,converged_trial,0,20,40,5.7947855842693028e-12,0.0081116000000000001
SOPP,tau=0.1,tau,2,P2,10000,0.6,0.10000000000000001,0.80000000000000004,0.5,,0.0001,0.10000000000000001,2,1,1.1000000000000001,3,1,1,9.9999999999999994e-12,2000,true,converged_trial,0,20,40,6.2610320635526944e-12,0.015082999999999999
SOPP,tau=0.1,tau,2,P2,10000,0.8,0.10000000000000001,0.80000000000000004,0.5,,0.0001,0.10000000000000001,2,1,1.1000000000000001,3,1,1,9.9999999999999994e-12,2000,true,converged_trial,0,20,40,6.7494813951999675e-12,0.0079328000000000003
SOPP,tau=0.1,tau,2,P2,10000,1.0,0.10000000000000001,0.80000000000000004,0.5,,0.0001,0.10000000000000001,2,1,1.1000000000000001,3,1,1,9.9999999999999994e-12,2000,true,converged_trial,0,20,40,6.727278932428183e-12,0.0117783
SOPP,tau=0.1,tau,2,P2,10000,1.1,0.10000000000000001,0.80000000000000004,0.5,,0.0001,0.10000000000000001,2,1,1.1000000000000001,3,1,1,9.9999999999999994e-12,2000,true,converged_trial,0,20,40,6.5718622178939994e-12,0.0116413
SOPP,tau=0.1,tau,2,P2,10000,2.0,0.10000000000000001,0.80000000000000004,0.5,,0.0001,0.10000000000000001,2,1,1.1000000000000001,3,1,1,9.9999999999999994e-12,2000,true,converged_projected,0,19,39,6.3498408733043618e-12,0.0074048999999999999
SOPP,tau=0.1,tau,2,P2,10000,5.0,0.10000000000000001,0.80000000000000004,0.5,,0.0001,0.10000000000000001,2,1,1.1000000000000001,3,1,1,9.9999999999999994e-12,2000,true,converged_projected,0,4,9,0,0.0021234000000000001
SOPP,tau=0.1,tau,2,P2,10000,1/k,0.10000000000000001,0.80000000000000004,0.5,,0.0001,0.10000000000000001,2,1,1.1000000000000001,3,1,1,9.9999999999999994e-12,2000,true,converged_projected,0,17,35,8.1291298859903542e-12,0.0096807999999999998
SOPP,tau=0.1,tau,2,P2,10000,k/n,0.10000000000000001,0.80000000000000004,0.5,,0.0001,0.10000000000000001,2,1,1.1000000000000001,3,1,1,9.9999999999999994e-12,2000,true,converged_trial,0,20,40,5.5278461202594981e-12,0.012110900000000001
SOPP,tau=0.1,tau,3,P3,10000,0.4,0.10000000000000001,0.80000000000000004,0.5,,0.0001,0.10000000000000001,2,1,1.1000000000000001,3,1,1,9.9999999999999994e-12,2000,true,converged_trial,0,20,40,7.9491968563161208e-12,0.051510399999999998
SOPP,tau=0.1,tau,3,P3,10000,0.5,0.10000000000000001,0.80000000000000004,0.5,,0.0001,0.10000000000000001,2,1,1.1000000000000001,3,1,1,9.9999999999999994e-12,2000,true,converged_trial,0,20,40,9.4368957093138306e-12,0.013613399999999999
SOPP,tau=0.1,tau,3,P3,10000,0.6,0.10000000000000001,0.80000000000000004,0.5,,0.0001,0.10000000000000001,2,1,1.1000000000000001,3,1,1,9.9999999999999994e-12,2000,true,converged_projected,0,20,41,3.4194869158454821e-12,0.0069354000000000004
SOPP,tau=0.1,tau,3,P3,10000,0.8,0.10000000000000001,0.80000000000000004,0.5,,0.0001,0.10000000000000001,2,1,1.1000000000000001,3,1,1,9.9999999999999994e-12,2000,true,converged_trial,0,20,40,9.1260332624187868e-12,0.0105602
SOPP,tau=0.1,tau,3,P3,10000,1.0,0.10000000000000001,0.80000000000000004,0.5,,0.0001,0.10000000000000001,2,1,1.1000000000000001,3,1,1,9.9999999999999994e-12,2000,true,converged_projected,0,19,39,6.794564910705958e-12,0.0087553000000000006
SOPP,tau=0.1,tau,3,P3,10000,1.1,0.10000000000000001,0.80000000000000004,0.5,,0.0001,0.10000000000000001,2,1,1.1000000000000001,3,1,1,9.9999999999999994e-12,2000,true,converged_projected,0,1,3,0,0.0004506
SOPP,tau=0.1,tau,3,P3,10000,2.0,0.10000000000000001,0.80000000000000004,0.5,,0.0001,0.10000000000000001,2,1,1.1000000000000001,3,1,1,9.9999999999999994e-12,2000,true,converged_projected,0,20,44,7.7493567118835927e-12,0.010682799999999999
SOPP,tau=0.1,tau,3,P3,10000,5.0,0.10000000000000001,0.80000000000000004,0.5,,0.0001,0.10000000000000001,2,1,1.1000000000000001,3,1,1,9.9999999999999994e-12,2000,true,converged_trial,0,22,57,5.4845017416482733e-12,0.0083426000000000004
SOPP,tau=0.1,tau,3,P3,10000,1/k,0.10000000000000001,0.80000000000000004,0.5,,0.0001,0.10000000000000001,2,1,1.1000000000000001,3,1,1,9.9999999999999994e-12,2000,true,converged_trial,0,19,38,6.134736613956326e-12,0.0084072000000000001
SOPP,tau=0.1,tau,3,P3,10000,k/n,0.10000000000000001,0.80000000000000004,0.5,,0.0001,0.10000000000000001,2,1,1.1000000000000001,3,1,1,9.9999999999999994e-12,2000,true,converged_projected,0,20,41,8.7003908970143957e-12,0.0056265000000000004
SOPP,tau=0.1,tau,4,P4,10000,0.4,0.10000000000000001,0.80000000000000004,0.5,,0.0001,0.10000000000000001,2,1,1.1000000000000001,3,1,1,9.9999999999999994e-12,2000,true,converged_projected,0,23,49,6.4706261507185858e-12,0.0207683
SOPP,tau=0.1,tau,4,P4,10000,0.5,0.10000000000000001,0.80000000000000004,0.5,,0.0001,0.10000000000000001,2,1,1.1000000000000001,3,1,1,9.9999999999999994e-12,2000,true,converged_trial,0,31,64,7.5294585571348784e-12,0.016327999999999999
SOPP,tau=0.1,tau,4,P4,10000,0.6,0.10000000000000001,0.80000000000000004,0.5,,0.0001,0.10000000000000001,2,1,1.1000000000000001,3,1,1,9.9999999999999994e-12,2000,true,converged_trial,0,30,62,6.484217459482724e-12,0.0135216
SOPP,tau=0.1,tau,4,P4,10000,0.8,0.10000000000000001,0.80000000000000004,0.5,,0.0001,0.10000000000000001,2,1,1.1000000000000001,3,1,1,9.9999999999999994e-12,2000,true,converged_projected,0,27,57,5.9712153098078856e-12,0.0107698
SOPP,tau=0.1,tau,4,P4,10000,1.0,0.10000000000000001,0.80000000000000004,0.5,,0.0001,0.10000000000000001,2,1,1.1000000000000001,3,1,1,9.9999999999999994e-12,2000,true,converged_trial,0,56,121,5.7875364012779502e-12,0.017097899999999999
