method,sparsity_ratio,measurement_ratio,noise_ratio,trial,converged,iterations,f_evals,cpu_time,mse,rel_err
SDLP,0.05,0.25,0.0100,1,true,313,627,4.504734000,8.7557492116e-10,1.2710060677e-01
MOPCGM,0.05,0.25,0.0100,1,true,3804,7608,48.072739200,8.7646697039e-10,1.2716533632e-01
CGPM,0.05,0.25,0.0100,1,true,1254,2761,15.159624200,8.4233199778e-10,1.2466444741e-01
STTDFPM,0.05,0.25,0.0100,1,true,345,726,3.959095900,7.9261029363e-10,1.2092910012e-01
SOPP,0.05,0.25,0.0100,2,true,386,773,4.923834700,7.8273083917e-10,1.2450523444e-01
SDLP,0.05,0.25,0.0100,2,true,281,563,3.227801500,7.8417511124e-10,1.2462004821e-01
MOPCGM,0.05,0.25,0.0100,2,true,3430,6860,39.278394900,7.8358234451e-10,1.2457293847e-01
CGPM,0.05,0.25,0.0100,2,true,1144,2518,13.923564800,7.4933484265e-10,1.2182021210e-01
STTDFPM,0.05,0.25,0.0100,2,true,308,652,3.519183700,6.7500565137e-10,1.1562056633e-01
SOPP,0.05,0.25,0.0100,3,true,385,770,4.335348700,1.2082906094e-09,1.6774503089e-01
SDLP,0.05,0.25,0.0100,3,true,280,561,3.077020100,1.2087113355e-09,1.6777423271e-01
MOPCGM,0.05,0.25,0.0100,3,true,3414,6828,38.858210400,1.2120206017e-09,1.6800374578e-01
CGPM,0.05,0.25,0.0100,3,true,1134,2497,15.822962300,1.1677225606e-09,1.6490499066e-01
STTDFPM,0.05,0.25,0.0100,3,true,335,707,3.955331000,8.2380812438e-10,1.3850868277e-01
SOPP,0.05,0.25,0.0100,4,true,279,558,3.477239600,4.9483443257e-10,9.1821144707e-02
SDLP,0.05,0.25,0.0100,4,true,198,396,2.497451800,4.9611543819e-10,9.1939919158e-02
MOPCGM,0.05,0.25,0.0100,4,true,2459,4918,30.638441500,4.9633323675e-10,9.1960098115e-02
CGPM,0.05,0.25,0.0100,4,true,832,1834,10.270037200,4.8487626035e-10,9.0892533188e-02
STTDFPM,0.05,0.25,0.0100,4,true,214,469,2.702910200,4.4376725784e-10,8.6954162117e-02
SOPP,0.05,0.25,0.0100,5,true,379,759,4.491910600,5.8013589881e-10,1.0974715811e-01
SDLP,0.05,0.25,0.0100,5,true,276,552,3.148192600,5.8041150427e-10,1.0977322384e-01
MOPCGM,0.05,0.25,0.0100,5,true,3365,6730,39.281738200,5.8168500589e-10,1.0989358653e-01
CGPM,0.05,0.25,0.0100,5,true,1105,2434,13.753311800,5.7352444297e-10,1.0912000538e-01
STTDFPM,0.05,0.25,0.0100,5,true,311,658,3.718522000,4.6900801794e-10,9.8677592795e-02
SOPP,0.05,0.25,0.1000,1,true,340,680,3.977843800,1.9426877828e-08,5.9869064429e-01
SDLP,0.05,0.25,0.1000,1,true,245,490,2.694514600,1.9427176027e-08,5.9869523917e-01
MOPCGM,0.05,0.25,0.1000,1,true,3008,6016,34.471038400,1.9430240880e-08,5.9874246273e-01
CGPM,0.05,0.25,0.1000,1,true,1020,2246,12.840263900,1.9362868416e-08,5.9770352080e-01
STTDFPM,0.05,0.25,0.1000,1,true,346,725,4.191547600,1.8845963800e-08,5.8967150724e-01
SOPP,0.05,0.25,0.1000,2,true,348,696,4.241872400,1.4502149449e-08,5.3591705227e-01
SDLP,0.05,0.25,0.1000,2,true,251,503,2.945039400,1.4499666227e-08,5.3587116741e-01
MOPCGM,0.05,0.25,0.1000,2,true,3081,6162,37.124405100,1.4505620207e-08,5.3598117817e-01
CGPM,0.05,0.25,0.1000,2,true,1034,2277,14.986705000,1.4448782345e-08,5.3493007093e-01
STTDFPM,0.05,0.25,0.1000,2,true,369,770,4.505064500,1.3752938051e-08,5.2189018729e-01
SOPP,0.05,0.25,0.1000,3,true,300,600,3.882954200,1.8007047951e-08,6.4756776838e-01
SDLP,0.05,0.25,0.1000,3,true,214,429,2.542699600,1.8006336249e-08,6.4755497117e-01
MOPCGM,0.05,0.25,0.1000,3,true,2651,5302,33.963897900,1.8007457151e-08,6.4757512616e-01
CGPM,0.05,0.25,0.1000,3,true,910,2004,13.388633600,1.7961955098e-08,6.4675644768e-01
STTDFPM,0.05,0.25,0.1000,3,true,233,508,3.194051000,1.7871718422e-08,6.4512982533e-01
SOPP,0.05,0.25,0.1000,4,true,307,614,3.985901900,1.5987134973e-08,5.2191294342e-01
SDLP,0.05,0.25,0.1000,4,true,219,438,2.525397100,1.5987738879e-08,5.2192280082e-01
MOPCGM,0.05,0.25,0.1000,4,true,2712,5424,33.727989900,1.5987140781e-08,5.2191303823e-01
CGPM,0.05,0.25,0.1000,4,true,912,2011,12.255074200,1.5946943937e-08,5.2125649617e-01
STTDFPM,0.05,0.25,0.1000,4,true,260,559,4.051345200,1.5737864438e-08,5.1782813931e-01
SOPP,0.05,0.25,0.1000,5,true,332,664,4.677024100,1.8473384025e-08,6.1930080150e-01
SDLP,0.05,0.25,0.1000,5,true,238,477,2.798786600,1.8475346846e-08,6.1933370138e-01
MOPCGM,0.05,0.25,0.1000,5,true,2936,5872,36.588546100,1.8475444710e-08,6.1933534168e-01
CGPM,0.05,0.25,0.1000,5,true,995,2192,12.988478000,1.8422040401e-08,6.1843958213e-01
STTDFPM,0.05,0.25,0.1000,5,true,297,618,4.263880900,1.8251266713e-08,6.1556641750e-01
SOPP,0.05,0.50,0.0000,1,true,57,115,0.925185500,5.5044698174e-11,3.1868286609e-02
SDLP,0.05,0.50,0.0000,1,true,34,68,0.514681900,5.1074780433e-11,3.0697585748e-02
MOPCGM,0.05,0.50,0.0000,1,true,473,946,5.829453300,5.5075770948e-11,3.1877280176e-02
CGPM,0.05,0.50,0.0000,1,true,146,334,1.981830400,5.0089608521e-11,3.0400084147e-02
STTDFPM,0.05,0.50,0.0000,1,true,44,106,0.623287100,5.0950374071e-11,3.0660176842e-02
SOPP,0.05,0.50,0.0000,2,true,53,106,0.642562800,4.8279084491e-11,3.0921524742e-02
SDLP,0.05,0.50,0.0000,2,true,30,61,0.359709600,4.4630416698e-11,2.9730133454e-02
MOPCGM,0.05,0.50,0.0000,2,true,431,862,5.398239200,4.8501460847e-11,3.0992656125e-02
CGPM,0.05,0.50,0.0000,2,true,136,308,1.845743300,4.6750191971e-11,3.0427977547e-02
STTDFPM,0.05,0.50,0.0000,2,true,39,98,0.576180700,4.8254772434e-11,3.0913738135e-02
SOPP,0.05,0.50,0.0000,3,true,59,118,0.764370200,3.8074855566e-11,2.9777147766e-02
SDLP,0.05,0.50,0.0000,3,true,35,71,0.565716600,3.5015841005e-11,2.8555925787e-02
MOPCGM,0.05,0.50,0.0000,3,true,488,976,5.983201000,3.8096611075e-11,2.9785653701e-02
CGPM,0.05,0.50,0.0000,3,true,170,389,2.311007900,3.6036136302e-11,2.8968971351e-02
STTDFPM,0.05,0.50,0.0000,3,true,45,103,0.593870700,3.7427784348e-11,2.9523036472e-02
SOPP,0.05,0.50,0.0000,4,true,51,103,0.597606900,7.0031242621e-11,3.4542889468e-02
SDLP,0.05,0.50,0.0000,4,true,28,58,0.415561400,6.8291492137e-11,3.4111125378e-02
MOPCGM,0.05,0.50,0.0000,4,true,417,834,5.934398800,7.0234670918e-11,3.4593023561e-02
CGPM,0.05,0.50,0.0000,4,true,126,290,1.994292900,6.4780120050e-11,3.3222600278e-02
STTDFPM,0.05,0.50,0.0000,4,true,37,91,0.631183700,6.7775036579e-11,3.3981897613e-02
SOPP,0.05,0.50,0.0000,5,true,60,120,0.849784300,4.2569410576e-11,2.9728789868e-02
SDLP,0.05,0.50,0.0000,5,true,36,73,0.676085200,3.8346559907e-11,2.8215751218e-02
MOPCGM,0.05,0.50,0.0000,5,true,496,992,5.879783800,4.2657627212e-11,2.9759577428e-02
CGPM,0.05,0.50,0.0000,5,true,159,361,2.094793800,3.8232395119e-11,2.8173718160e-02
STTDFPM,0.05,0.50,0.0000,5,true,47,110,0.657709200,4.1578910914e-11,2.9380891381e-02
SOPP,0.05,0.50,0.0010,1,true,58,116,0.710297700,5.4119104356e-11,3.1599213071e-02
SDLP,0.05,0.50,0.0010,1,true,34,70,0.411408200,5.0666275326e-11,3.0574576939e-02
MOPCGM,0.05,0.50,0.0010,1,true,474,948,5.905012300,5.4622255445e-11,3.1745763862e-02
CGPM,0.05,0.50,0.0010,1,true,146,334,2.031242100,4.9744809111e-11,3.0295271670e-02
STTDFPM,0.05,0.50,0.0010,1,true,48,112,0.663043000,5.1537499333e-11,3.0836326692e-02
SOPP,0.05,0.50,0.0010,2,true,53,106,0.673032100,4.8043805903e-11,3.0846087750e-02
SDLP,0.05,0.50,0.0010,2,true,30,61,0.374688900,4.4641097935e-11,2.9733690844e-02
MOPCGM,0.05,0.50,0.0010,2,true,432,864,5.233971100,4.8140884773e-11,3.0877236324e-02
CGPM,0.05,0.50,0.0010,2,true,136,308,1.690057500,4.6654892233e-11,3.0396948182e-02
STTDFPM,0.05,0.50,0.0010,2,true,35,87,0.479283600,4.5580353567e-11,3.0044863321e-02
SOPP,0.05,0.50,0.0010,3,true,59,119,0.704318300,3.7955258356e-11,2.9730344374e-02
SDLP,0.05,0.50,0.0010,3,true,35,72,0.408605400,3.5466724350e-11,2.8739188677e-02
MOPCGM,0.05,0.50,0.0010,3,true,489,978,5.533832800,3.8366059351e-11,2.9890801532e-02
CGPM,0.05,0.50,0.0010,3,true,171,393,2.132407300,3.4067362202e-11,2.8166521619e-02
STTDFPM,0.05,0.50,0.0010,3,true,43,105,0.580611700,3.7116572683e-11,2.9400038375e-02
SOPP,0.05,0.50,0.0010,4,true,51,103,0.599827200,6.9372522187e-11,3.4380048812e-02
SDLP,0.05,0.50,0.0010,4,true,29,60,0.338198200,6.5125082721e-11,3.3310940189e-02
MOPCGM,0.05,0.50,0.0010,4,true,418,836,4.733702400,6.9442716655e-11,3.4397438111e-02
CGPM,0.05,0.50,0.0010,4,true,125,286,1.616036100,6.4738536790e-11,3.3211935541e-02
STTDFPM,0.05,0.50,0.0010,4,true,36,89,0.485151600,6.7176840029e-11,3.3831599594e-02
SOPP,0.05,0.50,0.0010,5,true,60,120,0.709024300,4.2447862933e-11,2.9686317500e-02
SDLP,0.05,0.50,0.0010,5,true,36,74,0.584871600,3.8719743855e-11,2.8352714887e-02
MOPCGM,0.05,0.50,0.0010,5,true,497,994,5.608814600,4.2387566544e-11,2.9665225580e-02
CGPM,0.05,0.50,0.0010,5,true,159,361,2.146614300,3.8010311873e-11,2.8091771640e-02
STTDFPM,0.05,0.50,0.0010,5,true,45,109,0.650520200,4.0198927391e-11,2.8889208641e-02
SOPP,0.05,0.50,0.0100,1,true,62,124,0.709704500,7.2322152393e-11,3.6528903698e-02
SDLP,0.05,0.50,0.0100,1,true,36,73,0.558962700,6.7948739648e-11,3.5407206986e-02
MOPCGM,0.05,0.50,0.0100,1,true,513,1026,5.631782300,7.2267867872e-11,3.6515191950e-02
CGPM,0.05,0.50,0.0100,1,true,158,361,1.990742000,6.9901211051e-11,3.5912307993e-02
STTDFPM,0.05,0.50,0.0100,1,true,48,114,0.621840800,6.6486594080e-11,3.5024182720e-02
SOPP,0.05,0.50,0.0100,2,true,58,116,0.672379700,6.6479740073e-11,3.6284909499e-02
SDLP,0.05,0.50,0.0100,2,true,33,66,0.363270300,6.3944761717e-11,3.5586385127e-02
MOPCGM,0.05,0.50,0.0100,2,true,473,946,5.396176500,6.6990278795e-11,3.6423970071e-02
CGPM,0.05,0.50,0.0100,2,true,149,339,1.954182400,6.6675451726e-11,3.6338280352e-02
STTDFPM,0.05,0.50,0.0100,2,true,44,105,0.613525400,6.4050117250e-11,3.5615689166e-02
SOPP,0.05,0.50,0.0100,3,true,65,131,0.769282200,6.9618180196e-11,4.0264776908e-02
SDLP,0.05,0.50,0.0100,3,true,37,75,0.592766800,6.8833895480e-11,4.0037332782e-02
MOPCGM,0.05,0.50,0.0100,3,true,542,1084,6.294742700,6.9987489505e-11,4.0371433591e-02
CGPM,0.05,0.50,0.0100,3,true,173,397,2.280936300,6.9825059540e-11,4.0324558501e-02
STTDFPM,0.05,0.50,0.0100,3,true,46,114,0.653106900,6.6916104885e-11,3.9475650058e-02
SOPP,0.05,0.50,0.0100,4,true,55,111,0.654289200,7.9327009236e-11,3.6764044844e-02
SDLP,0.05,0.50,0.0100,4,true,31,63,0.383316300,7.4711631798e-11,3.5678522206e-02
MOPCGM,0.05,0.50,0.0100,4,true,452,904,5.259592100,7.9527800899e-11,3.6810543813e-02
CGPM,0.05,0.50,0.0100,4,true,133,306,1.770044200,7.6993026767e-11,3.6219165784e-02
STTDFPM,0.05,0.50,0.0100,4,true,42,101,0.563202200,7.5789115849e-11,3.5934877360e-02
SOPP,0.05,0.50,0.0100,5,true,66,132,0.842334700,6.5668352082e-11,3.6923806965e-02
SDLP,0.05,0.50,0.0100,5,true,38,77,0.584305600,6.3564714968e-11,3.6327579745e-02
MOPCGM,0.05,0.50,0.0100,5,true,547,1094,6.297369200,6.5990940287e-11,3.7014387831e-02
CGPM,0.05,0.50,0.0100,5,true,172,391,2.211924800,6.4876677854e-11,3.6700561962e-02
STTDFPM,0.05,0.50,0.0100,5,true,48,121,0.715011400,6.2967205009e-11,3.6156436515e-02
SOPP,0.05,0.50,0.1000,1,true,165,330,2.047953100,8.3404627252e-09,3.9227988553e-01
SDLP,0.05,0.50,0.1000,1,true,110,221,1.238310700,8.3404935615e-09,3.9228061070e-01
MOPCGM,0.05,0.50,0.1000,1,true,1435,2870,16.626659400,8.3409074530e-09,3.9229034391e-01
CGPM,0.05,0.50,0.1000,1,true,521,1149,6.496493000,8.3329624681e-09,3.9210346476e-01
STTDFPM,0.05,0.50,0.1000,1,true,135,313,1.727136800,8.2865227658e-09,3.9100933952e-01
SOPP,0.05,0.50,0.1000,2,true,169,339,2.172139700,8.1471211858e-09,4.0168302227e-01
SDLP,0.05,0.50,0.1000,2,true,114,228,1.282224400,8.1469582869e-09,4.0167900649e-01
MOPCGM,0.05,0.50,0.1000,2,true,1474,2948,17.043614900,8.1474547759e-09,4.0169124579e-01
CGPM,0.05,0.50,0.1000,2,true,535,1180,6.871576500,8.1446957095e-09,4.0162322537e-01
STTDFPM,0.05,0.50,0.1000,2,true,138,320,1.839020100,8.1367238211e-09,4.0142662629e-01
SOPP,0.05,0.50,0.1000,3,true,170,340,2.149322300,8.1353541996e-09,4.3526344681e-01
SDLP,0.05,0.50,0.1000,3,true,115,230,1.288072000,8.1349419220e-09,4.3525241768e-01
MOPCGM,0.05,0.50,0.1000,3,true,1483,2966,17.304982200,8.1352820168e-09,4.3526151582e-01
CGPM,0.05,0.50,0.1000,3,true,535,1180,6.905729400,8.1320510297e-09,4.3517507357e-01
STTDFPM,0.05,0.50,0.1000,3,true,148,336,1.955633800,8.1122979911e-09,4.3464622444e-01
SOPP,0.05,0.50,0.1000,4,true,158,317,2.186122100,7.7277586075e-09,3.6286035445e-01
SDLP,0.05,0.50,0.1000,4,true,105,211,1.425641800,7.7273972411e-09,3.6285187030e-01
MOPCGM,0.05,0.50,0.1000,4,true,1377,2754,17.754214100,7.7277230021e-09,3.6285951852e-01
CGPM,0.05,0.50,0.1000,4,true,505,1114,6.971156400,7.7257925470e-09,3.6281419290e-01
STTDFPM,0.05,0.50,0.1000,4,true,141,330,2.019986600,7.7100492580e-09,3.6244434077e-01
SOPP,0.05,0.50,0.1000,5,true,173,346,2.295087800,8.3000757317e-09,4.1511596888e-01
SDLP,0.05,0.50,0.1000,5,true,117,234,1.369437000,8.2999979976e-09,4.1511402499e-01
MOPCGM,0.05,0.50,0.1000,5,true,1510,3020,18.233752700,8.2998449730e-09,4.1511019831e-01
CGPM,0.05,0.50,0.1000,5,true,545,1202,6.748944200,8.2919642040e-09,4.1491307628e-01
STTDFPM,0.05,0.50,0.1000,5,true,137,318,1.761309100,8.2639450928e-09,4.1421147333e-01
SOPP,0.05,0.75,0.0000,1,true,22,44,0.245232600,5.4005068760e-11,3.1565903804e-02
SDLP,0.05,0.75,0.0000,1,true,10,23,0.128378000,5.2616479499e-11,3.1157446669e-02
MOPCGM,0.05,0.75,0.0000,1,true,153,306,1.911368900,5.4307571244e-11,3.1654186537e-02
CGPM,0.05,0.75,0.0000,1,true,27,73,0.395724300,5.2344984717e-11,3.1076958346e-02
STTDFPM,0.05,0.75,0.0000,1,true,15,43,0.365878300,5.2918548907e-11,3.1246755590e-02
SOPP,0.05,0.75,0.0000,2,true,23,46,0.256207300,4.2599195252e-11,2.9045715908e-02
SDLP,0.05,0.75,0.0000,2,true,11,26,0.142711400,4.1658951634e-11,2.8723380812e-02
MOPCGM,0.05,0.75,0.0000,2,true,163,326,1.987069200,4.2877478465e-11,2.9140433395e-02
CGPM,0.05,0.75,0.0000,2,true,39,96,0.539326900,4.0665146710e-11,2.8378704090e-02
STTDFPM,0.05,0.75,0.0000,2,true,16,43,0.235659900,4.0903832499e-11,2.8461867235e-02
SOPP,0.05,0.75,0.0000,3,true,23,46,0.254255600,3.5598363289e-11,2.8792473726e-02
SDLP,0.05,0.75,0.0000,3,true,11,24,0.131491700,3.5080429223e-11,2.8582249968e-02
MOPCGM,0.05,0.75,0.0000,3,true,162,324,2.003076000,3.5940361684e-11,2.8930449767e-02
CGPM,0.05,0.75,0.0000,3,true,39,96,0.537918400,3.3936475703e-11,2.8112361787e-02
STTDFPM,0.05,0.75,0.0000,3,true,12,34,0.187783800,3.4110235796e-11,2.8184239755e-02
SOPP,0.05,0.75,0.0000,4,true,22,45,0.249845000,6.0206492953e-11,3.2028338645e-02
SDLP,0.05,0.75,0.0000,4,true,10,23,0.127912300,5.9353595269e-11,3.1800669418e-02
MOPCGM,0.05,0.75,0.0000,4,true,158,316,2.040972100,6.0423166178e-11,3.2085919236e-02
CGPM,0.05,0.75,0.0000,4,true,34,85,0.468432300,5.6310027090e-11,3.0974593449e-02
STTDFPM,0.05,0.75,0.0000,4,true,14,41,0.223821300,6.0106354842e-11,3.2001692083e-02
SOPP,0.05,0.75,0.0000,5,true,24,48,0.268420300,3.8242661291e-11,2.8177500513e-02
SDLP,0.05,0.75,0.0000,5,true,12,26,0.143252500,3.8209926989e-11,2.8165438483e-02
MOPCGM,0.05,0.75,0.0000,5,true,171,342,2.138146000,3.8636382308e-11,2.8322177499e-02
CGPM,0.05,0.75,0.0000,5,true,41,98,0.537716100,3.7902007267e-11,2.8051721473e-02
