method,sparsity_ratio,measurement_ratio,noise_ratio,trial,converged,iterations,f_evals,cpu_time,mse,rel_err
SOPP,0.05,0.75,0.0100,3,true,24,48,0.266145900,4.3957463289e-11,3.1994864470e-02
SDLP,0.05,0.75,0.0100,3,true,11,24,0.143772000,4.1277663099e-11,3.1004270326e-02
MOPCGM,0.05,0.75,0.0100,3,true,173,346,2.339866100,4.4070785551e-11,3.2036079276e-02
CGPM,0.05,0.75,0.0100,3,true,37,95,0.552714000,4.1290063934e-11,3.1008927203e-02
STTDFPM,0.05,0.75,0.0100,3,true,16,47,0.292337200,4.2677482789e-11,3.1525600062e-02
SOPP,0.05,0.75,0.0100,4,true,23,46,0.276227800,6.7435746402e-11,3.3896732110e-02
SDLP,0.05,0.75,0.0100,4,true,10,23,0.135476400,6.6899827887e-11,3.3761773109e-02
MOPCGM,0.05,0.75,0.0100,4,true,163,326,2.217668200,6.7588139412e-11,3.3935010844e-02
CGPM,0.05,0.75,0.0100,4,true,38,97,0.569813500,6.4805959801e-11,3.3229225598e-02
STTDFPM,0.05,0.75,0.0100,4,true,16,46,0.270422700,6.5731819373e-11,3.3465750838e-02
SOPP,0.05,0.75,0.0100,5,true,25,50,0.295182300,4.3076817490e-11,2.9905441470e-02
SDLP,0.05,0.75,0.0100,5,true,12,26,0.147076500,4.3397344833e-11,3.0016495945e-02
MOPCGM,0.05,0.75,0.0100,5,true,181,362,2.436967700,4.3299309870e-11,2.9982573019e-02
CGPM,0.05,0.75,0.0100,5,true,45,111,0.655849300,4.0063489006e-11,2.8840500762e-02
STTDFPM,0.05,0.75,0.0100,5,true,18,51,0.295978600,4.1580762536e-11,2.9381545579e-02
SOPP,0.05,0.75,0.1000,1,true,66,133,0.855165100,6.1113858603e-09,3.3579236677e-01
SDLP,0.05,0.75,0.1000,1,true,36,72,0.423615200,6.1106741828e-09,3.3577281451e-01
MOPCGM,0.05,0.75,0.1000,1,true,550,1100,6.960321200,6.1113256739e-09,3.3579071328e-01
CGPM,0.05,0.75,0.1000,1,true,123,298,1.774120200,6.1101654222e-09,3.3575883638e-01
STTDFPM,0.05,0.75,0.1000,1,true,56,141,0.835160600,6.1036542785e-09,3.3557989223e-01
SOPP,0.05,0.75,0.1000,2,true,73,146,1.058276500,7.3597804343e-09,3.8178056551e-01
SDLP,0.05,0.75,0.1000,2,true,41,82,0.656304500,7.3594299585e-09,3.8177147512e-01
MOPCGM,0.05,0.75,0.1000,2,true,608,1216,8.283207300,7.3598614287e-09,3.8178266625e-01
CGPM,0.05,0.75,0.1000,2,true,157,370,2.205057000,7.3586413571e-09,3.8175102017e-01
STTDFPM,0.05,0.75,0.1000,2,true,57,146,0.860243600,7.3557908541e-09,3.8167707392e-01
SOPP,0.05,0.75,0.1000,3,true,84,169,1.187921100,6.8012417384e-09,3.9797708757e-01
SDLP,0.05,0.75,0.1000,3,true,50,100,0.766745200,6.8010451201e-09,3.9797133493e-01
MOPCGM,0.05,0.75,0.1000,3,true,712,1424,8.296607300,6.8012436649e-09,3.9797714393e-01
CGPM,0.05,0.75,0.1000,3,true,221,504,2.870226100,6.8003312305e-09,3.9795044733e-01
STTDFPM,0.05,0.75,0.1000,3,true,65,168,0.966349400,6.8003534300e-09,3.9795109688e-01
SOPP,0.05,0.75,0.1000,4,true,72,145,0.842747600,6.3544468778e-09,3.2904221756e-01
SDLP,0.05,0.75,0.1000,4,true,40,80,0.526081300,6.3543903741e-09,3.2904075463e-01
MOPCGM,0.05,0.75,0.1000,4,true,601,1202,7.043826700,6.3544916912e-09,3.2904337781e-01
CGPM,0.05,0.75,0.1000,4,true,142,340,1.959852300,6.3538460890e-09,3.2902666234e-01
STTDFPM,0.05,0.75,0.1000,4,true,61,157,0.865804300,6.3532354646e-09,3.2901085172e-01
SOPP,0.05,0.75,0.1000,5,true,80,160,0.903704100,7.2122098761e-09,3.8695689627e-01
SDLP,0.05,0.75,0.1000,5,true,46,93,0.565540200,7.2121633156e-09,3.8695564721e-01
MOPCGM,0.05,0.75,0.1000,5,true,672,1344,7.822948800,7.2122134652e-09,3.8695699255e-01
CGPM,0.05,0.75,0.1000,5,true,204,468,2.703340400,7.2113120154e-09,3.8693280905e-01
STTDFPM,0.05,0.75,0.1000,5,true,62,152,0.956783400,7.2085889493e-09,3.8685974723e-01
SOPP,0.10,0.25,0.0000,1,true,419,838,5.118540300,3.2126142425e-08,5.3920805661e-01
SDLP,0.10,0.25,0.0000,1,true,305,610,3.598578900,3.2122514272e-08,5.3917760813e-01
MOPCGM,0.10,0.25,0.0000,1,true,3720,7440,42.940448600,3.2126802269e-08,5.3921359403e-01
CGPM,0.10,0.25,0.0000,1,true,1244,2739,15.174127700,3.1942249927e-08,5.3766260778e-01
STTDFPM,0.10,0.25,0.0000,1,true,383,804,4.412886600,3.0929945641e-08,5.2907429363e-01
SOPP,0.10,0.25,0.0000,2,true,502,1004,5.744576400,2.5272310669e-08,4.9309917228e-01
SDLP,0.10,0.25,0.0000,2,true,369,738,4.095491500,2.5271014475e-08,4.9308652681e-01
MOPCGM,0.10,0.25,0.0000,2,true,4465,8930,49.542242300,2.5279950003e-08,4.9317369386e-01
CGPM,0.10,0.25,0.0000,2,true,1464,3223,17.993497800,2.5143029938e-08,4.9183632858e-01
STTDFPM,0.10,0.25,0.0000,2,true,432,894,5.057368800,2.4543792403e-08,4.8593998077e-01
SOPP,0.10,0.25,0.0000,3,true,403,806,4.766597300,2.2785203192e-08,4.8423281471e-01
SDLP,0.10,0.25,0.0000,3,true,293,586,3.206382600,2.2775815903e-08,4.8413305475e-01
MOPCGM,0.10,0.25,0.0000,3,true,3576,7152,39.767950500,2.2786189612e-08,4.8424329633e-01
CGPM,0.10,0.25,0.0000,3,true,1199,2640,14.548152700,2.2624820523e-08,4.8252557299e-01
STTDFPM,0.10,0.25,0.0000,3,true,389,816,4.637729200,2.1418287086e-08,4.6948328151e-01
SOPP,0.10,0.25,0.0000,4,true,419,838,4.793249000,2.5846711427e-08,4.8673626842e-01
SDLP,0.10,0.25,0.0000,4,true,305,610,3.326989800,2.5842035409e-08,4.8669223787e-01
MOPCGM,0.10,0.25,0.0000,4,true,3719,7438,44.735431500,2.5848907585e-08,4.8675694663e-01
CGPM,0.10,0.25,0.0000,4,true,1245,2741,16.349448900,2.5660615508e-08,4.8498085621e-01
STTDFPM,0.10,0.25,0.0000,4,true,398,830,4.898464700,2.4378946283e-08,4.7271406726e-01
SOPP,0.10,0.25,0.0000,5,true,427,854,5.266205900,2.3473702971e-08,5.0805286804e-01
SDLP,0.10,0.25,0.0000,5,true,311,623,3.705079200,2.3473601732e-08,5.0805177246e-01
MOPCGM,0.10,0.25,0.0000,5,true,3791,7582,45.997585700,2.3479322951e-08,5.0811368239e-01
CGPM,0.10,0.25,0.0000,5,true,1264,2783,16.668979200,2.3292450487e-08,5.0608759876e-01
STTDFPM,0.10,0.25,0.0000,5,true,423,876,5.258676700,2.1808101054e-08,4.8969653428e-01
SOPP,0.10,0.25,0.0010,1,true,420,841,5.465416700,3.2018492203e-08,5.3830389305e-01
SDLP,0.10,0.25,0.0010,1,true,306,612,3.606369600,3.2017196517e-08,5.3829300122e-01
MOPCGM,0.10,0.25,0.0010,1,true,3732,7464,44.207204500,3.2021545707e-08,5.3832956062e-01
CGPM,0.10,0.25,0.0010,1,true,1254,2761,16.522727700,3.1793960770e-08,5.3641312966e-01
STTDFPM,0.10,0.25,0.0010,1,true,361,763,4.548344100,3.1183992325e-08,5.3124265665e-01
SOPP,0.10,0.25,0.0010,2,true,501,1003,6.182149000,2.5289554522e-08,4.9326736980e-01
SDLP,0.10,0.25,0.0010,2,true,368,737,4.324161500,2.5291401434e-08,4.9328538128e-01
MOPCGM,0.10,0.25,0.0010,2,true,4461,8922,53.643644000,2.5294677139e-08,4.9331732504e-01
CGPM,0.10,0.25,0.0010,2,true,1469,3234,19.276841000,2.5107926352e-08,4.9149286859e-01
STTDFPM,0.10,0.25,0.0010,2,true,436,915,5.652997700,2.4351223242e-08,4.8402989844e-01
SOPP,0.10,0.25,0.0010,3,true,405,810,5.218175800,2.2731419279e-08,4.8366096721e-01
SDLP,0.10,0.25,0.0010,3,true,294,588,3.488158300,2.2735184470e-08,4.8370102192e-01
MOPCGM,0.10,0.25,0.0010,3,true,3592,7184,43.721610300,2.2736999272e-08,4.8372032688e-01
CGPM,0.10,0.25,0.0010,3,true,1209,2662,15.685163600,2.2543774705e-08,4.8166055476e-01
STTDFPM,0.10,0.25,0.0010,3,true,371,785,4.850145000,2.1509575418e-08,4.7048272593e-01
SOPP,0.10,0.25,0.0010,4,true,418,837,5.192054700,2.5908263983e-08,4.8731549193e-01
SDLP,0.10,0.25,0.0010,4,true,304,609,3.704298400,2.5906496665e-08,4.8729887067e-01
MOPCGM,0.10,0.25,0.0010,4,true,3714,7428,44.991619400,2.5910455404e-08,4.8733610101e-01
CGPM,0.10,0.25,0.0010,4,true,1245,2741,16.304742100,2.5712136857e-08,4.8546748402e-01
STTDFPM,0.10,0.25,0.0010,4,true,403,840,5.254138900,2.4239941812e-08,4.7136447442e-01
SOPP,0.10,0.25,0.0010,5,true,429,859,5.360616500,2.3397033611e-08,5.0722249316e-01
SDLP,0.10,0.25,0.0010,5,true,313,627,3.722176300,2.3393651312e-08,5.0718582954e-01
MOPCGM,0.10,0.25,0.0010,5,true,3815,7630,46.260702100,2.3398497825e-08,5.0723836421e-01
CGPM,0.10,0.25,0.0010,5,true,1274,2805,16.876340900,2.3194586800e-08,5.0502331120e-01
STTDFPM,0.10,0.25,0.0010,5,true,395,820,4.881401700,2.2517786916e-08,4.9760067122e-01
SOPP,0.10,0.25,0.0100,1,true,428,857,5.307452900,3.1368080004e-08,5.3280838503e-01
SDLP,0.10,0.25,0.0100,1,true,312,625,3.755981500,3.1358764885e-08,5.3272926732e-01
MOPCGM,0.10,0.25,0.0100,1,true,3805,7610,45.732501500,3.1369121730e-08,5.3281723218e-01
CGPM,0.10,0.25,0.0100,1,true,1270,2796,16.689292300,3.1190617333e-08,5.3129908464e-01
STTDFPM,0.10,0.25,0.0100,1,true,389,810,4.781537500,3.0267975451e-08,5.2338198375e-01
SOPP,0.10,0.25,0.0100,2,true,506,1013,6.202473900,2.5425790695e-08,4.9459421401e-01
SDLP,0.10,0.25,0.0100,2,true,372,745,4.404938600,2.5426054890e-08,4.9459678362e-01
MOPCGM,0.10,0.25,0.0100,2,true,4508,9016,53.927999600,2.5426382523e-08,4.9459997023e-01
CGPM,0.10,0.25,0.0100,2,true,1494,3289,19.756251800,2.5158481883e-08,4.9198743727e-01
STTDFPM,0.10,0.25,0.0100,2,true,575,1177,7.123137200,2.2382413735e-08,4.6405051326e-01
SOPP,0.10,0.25,0.0100,3,true,406,813,5.128536000,2.2681197277e-08,4.8312637998e-01
SDLP,0.10,0.25,0.0100,3,true,295,590,3.529479000,2.2687835430e-08,4.8319707360e-01
MOPCGM,0.10,0.25,0.0100,3,true,3605,7210,43.898833200,2.2686918479e-08,4.8318730906e-01
CGPM,0.10,0.25,0.0100,3,true,1204,2651,15.882174300,2.2546381386e-08,4.8168840056e-01
STTDFPM,0.10,0.25,0.0100,3,true,341,725,4.512241000,2.1887770510e-08,4.7460086675e-01
SOPP,0.10,0.25,0.0100,4,true,412,824,5.165529900,2.6772405817e-08,4.9537577062e-01
SDLP,0.10,0.25,0.0100,4,true,299,599,3.587326300,2.6771988092e-08,4.9537190598e-01
MOPCGM,0.10,0.25,0.0100,4,true,3657,7314,44.298424700,2.6772652681e-08,4.9537805450e-01
CGPM,0.10,0.25,0.0100,4,true,1230,2708,16.205679600,2.6552304436e-08,4.9333527577e-01
STTDFPM,0.10,0.25,0.0100,4,true,340,714,4.295135900,2.6282725796e-08,4.9082453442e-01
SOPP,0.10,0.25,0.0100,5,true,441,882,5.397425700,2.3261005708e-08,5.0574587459e-01
SDLP,0.10,0.25,0.0100,5,true,322,644,3.903236300,2.3266982240e-08,5.0581084194e-01
MOPCGM,0.10,0.25,0.0100,5,true,3916,7832,47.118208000,2.3268329005e-08,5.0582548068e-01
CGPM,0.10,0.25,0.0100,5,true,1309,2882,17.492130900,2.3050044285e-08,5.0344726631e-01
STTDFPM,0.10,0.25,0.0100,5,true,362,757,4.569016800,2.3101770516e-08,5.0401183867e-01
SOPP,0.10,0.25,0.1000,1,true,384,768,4.796868200,4.6338625446e-08,6.4758779631e-01
SDLP,0.10,0.25,0.1000,1,true,277,555,3.307034100,4.6340857833e-08,6.4760339506e-01
MOPCGM,0.10,0.25,0.1000,1,true,3402,6804,40.904388300,4.6342728011e-08,6.4761646260e-01
CGPM,0.10,0.25,0.1000,1,true,1145,2521,15.315109800,4.6238770455e-08,6.4688967734e-01
STTDFPM,0.10,0.25,0.1000,1,true,345,724,4.326536900,4.5750066770e-08,6.4346206524e-01
SOPP,0.10,0.25,0.1000,2,true,451,903,5.542532800,4.3469937485e-08,6.4670512926e-01
SDLP,0.10,0.25,0.1000,2,true,330,661,3.908171800,4.3463401488e-08,6.4665650919e-01
MOPCGM,0.10,0.25,0.1000,2,true,4013,8026,50.818096900,4.3470271183e-08,6.4670761147e-01
CGPM,0.10,0.25,0.1000,2,true,1344,2958,27.912120200,4.3320974944e-08,6.4559611557e-01
STTDFPM,0.10,0.25,0.1000,2,true,399,831,6.286219100,4.3045244548e-08,6.4353828297e-01
SOPP,0.10,0.25,0.1000,3,true,401,803,6.023086700,3.5427258840e-08,6.0380476910e-01
SDLP,0.10,0.25,0.1000,3,true,291,582,3.467229500,3.5431041083e-08,6.0383699959e-01
MOPCGM,0.10,0.25,0.1000,3,true,3560,7120,47.466119900,3.5429992052e-08,6.0382806042e-01
CGPM,0.10,0.25,0.1000,3,true,1210,2664,20.028594400,3.5286724234e-08,6.0260597773e-01
STTDFPM,0.10,0.25,0.1000,3,true,373,781,5.229857800,3.4794731589e-08,5.9839025058e-01
SOPP,0.10,0.25,0.1000,4,true,403,807,5.866848500,4.6629115244e-08,6.5376196269e-01
SDLP,0.10,0.25,0.1000,4,true,293,586,4.379971800,4.6625163043e-08,6.5373425625e-01
MOPCGM,0.10,0.25,0.1000,4,true,3580,7160,48.247057200,4.6628912861e-08,6.5376054394e-01
CGPM,0.10,0.25,0.1000,4,true,1205,2653,18.453658600,4.6531650723e-08,6.5307835624e-01
STTDFPM,0.10,0.25,0.1000,4,true,346,727,5.318719000,4.6321160235e-08,6.5159954996e-01
SOPP,0.10,0.25,0.1000,5,true,404,809,6.015709400,4.0233725216e-08,6.6514024748e-01
SDLP,0.10,0.25,0.1000,5,true,294,588,4.216816600,4.0232015635e-08,6.6512611602e-01
MOPCGM,0.10,0.25,0.1000,5,true,3590,7180,44.096563500,4.0233750872e-08,6.6514045956e-01
CGPM,0.10,0.25,0.1000,5,true,1210,2664,15.288199200,4.0131424454e-08,6.6429409587e-01
STTDFPM,0.10,0.25,0.1000,5,true,356,746,4.549359500,3.9872655516e-08,6.6214893558e-01
SOPP,0.10,0.50,0.0000,1,true,82,165,0.968934100,2.0774878377e-10,4.3360704264e-02
SDLP,0.10,0.50,0.0000,1,true,49,99,0.712366500,2.0485021266e-10,4.3057151187e-02
MOPCGM,0.10,0.50,0.0000,1,true,695,1390,7.996310700,2.0770429300e-10,4.3356061026e-02
CGPM,0.10,0.50,0.0000,1,true,232,522,2.967751000,2.0496098731e-10,4.3068791391e-02
STTDFPM,0.10,0.50,0.0000,1,true,58,139,0.802589700,2.0321894748e-10,4.2885371966e-02
SOPP,0.10,0.50,0.0000,2,true,94,188,1.258243300,1.7897700648e-10,4.1496399648e-02
SDLP,0.10,0.50,0.0000,2,true,58,117,0.665997700,1.7491998215e-10,4.1023386608e-02
MOPCGM,0.10,0.50,0.0000,2,true,799,1598,9.143370600,1.7898139856e-10,4.1496908804e-02
CGPM,0.10,0.50,0.0000,2,true,271,607,3.464936300,1.7687497309e-10,4.1251998292e-02
STTDFPM,0.10,0.50,0.0000,2,true,70,170,0.965740500,1.6867738491e-10,4.0284708677e-02
SOPP,0.10,0.50,0.0000,3,true,85,171,1.009618100,1.6754121177e-10,4.1522987236e-02
SDLP,0.10,0.50,0.0000,3,true,52,105,0.746356600,1.6315733854e-10,4.0976142358e-02
MOPCGM,0.10,0.50,0.0000,3,true,720,1440,8.516348700,1.6812932849e-10,4.1595802067e-02
CGPM,0.10,0.50,0.0000,3,true,232,523,2.983645200,1.6766495638e-10,4.1538318679e-02
STTDFPM,0.10,0.50,0.0000,3,true,63,154,0.877739400,1.6365496691e-10,4.1038583210e-02
SOPP,0.10,0.50,0.0000,4,true,100,200,1.348890400,1.6935486508e-10,3.9399426461e-02
SDLP,0.10,0.50,0.0000,4,true,62,125,0.747956100,1.6813555130e-10,3.9257337110e-02
MOPCGM,0.10,0.50,0.0000,4,true,852,1704,9.861878900,1.6968128987e-10,3.9437378598e-02
CGPM,0.10,0.50,0.0000,4,true,290,648,3.709574800,1.6964509474e-10,3.9433172132e-02
STTDFPM,0.10,0.50,0.0000,4,true,76,176,1.013159800,1.6532280832e-10,3.8927583793e-02
SOPP,0.10,0.50,0.0000,5,true,93,187,1.276526700,1.4221915836e-10,3.9545507836e-02
SDLP,0.10,0.50,0.0000,5,true,58,117,0.673478500,1.3869052381e-10,3.9051839807e-02
MOPCGM,0.10,0.50,0.0000,5,true,792,1584,9.078181800,1.4290592018e-10,3.9640873461e-02
CGPM,0.10,0.50,0.0000,5,true,262,588,3.353464700,1.4201150834e-10,3.9516627673e-02
STTDFPM,0.10,0.50,0.0000,5,true,64,154,0.870937800,1.3801229745e-10,3.8956236856e-02
SOPP,0.10,0.50,0.0010,1,true,83,166,0.990683000,2.0744247510e-10,4.3328726558e-02
SDLP,0.10,0.50,0.0010,1,true,49,99,0.709276000,2.0583484187e-10,4.3160505991e-02
MOPCGM,0.10,0.50,0.0010,1,true,696,1392,7.947649900,2.0837290006e-10,4.3425787263e-02
CGPM,0.10,0.50,0.0010,1,true,232,522,2.971467900,2.0590542997e-10,4.3167905993e-02
STTDFPM,0.10,0.50,0.0010,1,true,61,148,0.850270100,2.0494063777e-10,4.3066653296e-02
SOPP,0.10,0.50,0.0010,2,true,94,188,1.260350600,1.8098909938e-10,4.1729002867e-02
SDLP,0.10,0.50,0.0010,2,true,58,117,0.665942000,1.7693874639e-10,4.1259434446e-02
MOPCGM,0.10,0.50,0.0010,2,true,799,1598,9.210457600,1.8098259461e-10,4.1728252988e-02
CGPM,0.10,0.50,0.0010,2,true,275,615,3.535960500,1.7858797646e-10,4.1451276178e-02
STTDFPM,0.10,0.50,0.0010,2,true,71,168,1.009553000,1.6885470064e-10,4.0305877005e-02
SOPP,0.10,0.50,0.0010,3,true,85,171,1.011941500,1.6784354425e-10,4.1560435005e-02
SDLP,0.10,0.50,0.0010,3,true,52,105,0.753664200,1.6350811980e-10,4.1020167180e-02
MOPCGM,0.10,0.50,0.0010,3,true,721,1442,8.381383400,1.6819835829e-10,4.1604340300e-02
CGPM,0.10,0.50,0.0010,3,true,232,523,2.994258200,1.6809829946e-10,4.1591963542e-02
STTDFPM,0.10,0.50,0.0010,3,true,63,152,0.873723900,1.6475739498e-10,4.1176575205e-02
SOPP,0.10,0.50,0.0010,4,true,100,200,1.356543700,1.7157287051e-10,3.9656590240e-02
SDLP,0.10,0.50,0.0010,4,true,62,125,0.724136300,1.7034637095e-10,3.9514592188e-02
MOPCGM,0.10,0.50,0.0010,4,true,853,1706,9.759775800,1.7165482357e-10,3.9666060242e-02
CGPM,0.10,0.50,0.0010,4,true,291,651,3.707991500,1.6926105600e-10,3.9388512880e-02
STTDFPM,0.10,0.50,0.0010,4,true,94,205,1.198914300,1.6256020763e-10,3.8600966955e-02
SOPP,0.10,0.50,0.0010,5,true,93,187,1.086635900,1.4283720079e-10,3.9631341231e-02
SDLP,0.10,0.50,0.0010,5,true,58,116,0.831550900,1.4151471167e-10,3.9447446911e-02
MOPCGM,0.10,0.50,0.0010,5,true,791,1582,9.207623200,1.4375104280e-10,3.9757915547e-02
CGPM,0.10,0.50,0.0010,5,true,266,596,3.394118300,1.4227069945e-10,3.9552672953e-02
STTDFPM,0.10,0.50,0.0010,5,true,71,172,1.015648700,1.3601648556e-10,3.8673535753e-02
SOPP,0.10,0.50,0.0100,1,true,87,175,1.072726200,2.6529795309e-10,4.8999768930e-02
SDLP,0.10,0.50,0.0100,1,true,52,105,0.777691900,2.6335304347e-10,4.8819828930e-02
MOPCGM,0.10,0.50,0.0100,1,true,738,1476,8.633200900,2.6568943405e-10,4.9035908307e-02
CGPM,0.10,0.50,0.0100,1,true,260,582,3.387772700,2.6337267195e-10,4.8821648239e-02
STTDFPM,0.10,0.50,0.0100,1,true,66,156,0.881391000,2.5773929741e-10,4.8296693898e-02
SOPP,0.10,0.50,0.0100,2,true,98,197,1.328113200,2.5949431352e-10,4.9966130780e-02
SDLP,0.10,0.50,0.0100,2,true,60,121,0.717787200,2.5942795333e-10,4.9959741480e-02
MOPCGM,0.10,0.50,0.0100,2,true,836,1672,9.561231100,2.6033360725e-10,5.0046869362e-02
CGPM,0.10,0.50,0.0100,2,true,327,721,4.103393000,2.5953100470e-10,4.9969663134e-02
STTDFPM,0.10,0.50,0.0100,2,true,72,174,1.000987800,2.4961451463e-10,4.9005713341e-02
SOPP,0.10,0.50,0.0100,3,true,90,181,1.078279000,2.2332772440e-10,4.7940116391e-02
SDLP,0.10,0.50,0.0100,3,true,55,111,0.785648700,2.1960473081e-10,4.7538843207e-02
MOPCGM,0.10,0.50,0.0100,3,true,767,1534,8.720845900,2.2326210290e-10,4.7933072631e-02
CGPM,0.10,0.50,0.0100,3,true,280,623,3.590937900,2.2287122004e-10,4.7891094113e-02
STTDFPM,0.10,0.50,0.0100,3,true,69,166,0.996353500,2.1273455245e-10,4.6789325083e-02
SOPP,0.10,0.50,0.0100,4,true,106,212,1.426054700,2.5542491342e-10,4.8386330624e-02
SDLP,0.10,0.50,0.0100,4,true,66,132,0.788566200,2.5626689697e-10,4.8466015442e-02
MOPCGM,0.10,0.50,0.0100,4,true,902,1804,10.521365900,2.5692861712e-10,4.8528548417e-02
CGPM,0.10,0.50,0.0100,4,true,348,768,4.520741400,2.5342051584e-10,4.8196105518e-02
STTDFPM,0.10,0.50,0.0100,4,true,81,192,1.111501900,2.4634340109e-10,4.7518369230e-02
SOPP,0.10,0.50,0.0100,5,true,97,195,1.140116500,2.1934222707e-10,4.9111051109e-02
SDLP,0.10,0.50,0.0100,5,true,60,121,0.707793900,2.1765254935e-10,4.8921524727e-02
MOPCGM,0.10,0.50,0.0100,5,true,831,1662,9.746969400,2.1914501239e-10,4.9088967813e-02
CGPM,0.10,0.50,0.0100,5,true,329,725,4.113982200,2.1705142154e-10,4.8853920597e-02
STTDFPM,0.10,0.50,0.0100,5,true,74,181,1.028143300,2.0910240708e-10,4.7950994745e-02
SOPP,0.10,0.50,0.1000,1,true,191,382,2.370933300,1.1062062003e-08,3.1640630320e-01
SDLP,0.10,0.50,0.1000,1,true,130,260,1.470858500,1.1060773177e-08,3.1638787064e-01
MOPCGM,0.10,0.50,0.1000,1,true,1669,3338,19.190961200,1.1062018304e-08,3.1640567825e-01
CGPM,0.10,0.50,0.1000,1,true,600,1322,7.586859300,1.1050045619e-08,3.1623440520e-01
STTDFPM,0.10,0.50,0.1000,1,true,151,344,2.023836300,1.1015967615e-08,3.1574640004e-01
SOPP,0.10,0.50,0.1000,2,true,178,357,2.359614300,1.1854246820e-08,3.3771377892e-01
SDLP,0.10,0.50,0.1000,2,true,120,241,1.384736500,1.1853258250e-08,3.3769969702e-01
MOPCGM,0.10,0.50,0.1000,2,true,1554,3108,18.044165700,1.1855553732e-08,3.3773239461e-01
CGPM,0.10,0.50,0.1000,2,true,560,1234,7.065176500,1.1846920379e-08,3.3760940188e-01
STTDFPM,0.10,0.50,0.1000,2,true,152,348,1.993867800,1.1757117851e-08,3.3632738722e-01
SOPP,0.10,0.50,0.1000,3,true,201,402,2.487795500,1.1212537838e-08,3.3968762421e-01
SDLP,0.10,0.50,0.1000,3,true,137,275,1.557537100,1.1213111291e-08,3.3969631057e-01
MOPCGM,0.10,0.50,0.1000,3,true,1756,3512,20.257827200,1.1213505422e-08,3.3970228053e-01
CGPM,0.10,0.50,0.1000,3,true,625,1378,8.026782300,1.1206248006e-08,3.3959233455e-01
STTDFPM,0.10,0.50,0.1000,3,true,160,366,2.246491700,1.1181096993e-08,3.3921103436e-01
SOPP,0.10,0.50,0.1000,4,true,207,414,2.530754200,1.1578360941e-08,3.2577263696e-01
SDLP,0.10,0.50,0.1000,4,true,142,284,1.630458300,1.1579338788e-08,3.2578639318e-01
MOPCGM,0.10,0.50,0.1000,4,true,1811,3622,21.118145800,1.1579895836e-08,3.2579422941e-01
CGPM,0.10,0.50,0.1000,4,true,649,1430,8.298552100,1.1558773059e-08,3.2549695471e-01
STTDFPM,0.10,0.50,0.1000,4,true,170,395,2.257458900,1.1500921626e-08,3.2468138000e-01
SOPP,0.10,0.50,0.1000,5,true,189,378,2.349081700,1.1498138811e-08,3.5557554029e-01
SDLP,0.10,0.50,0.1000,5,true,128,257,1.478593200,1.1498263329e-08,3.5557746563e-01
MOPCGM,0.10,0.50,0.1000,5,true,1649,3298,19.088183300,1.1499270409e-08,3.5559303698e-01
CGPM,0.10,0.50,0.1000,5,true,590,1300,7.453826300,1.1492060138e-08,3.5548153755e-01
STTDFPM,0.10,0.50,0.1000,5,true,156,355,2.184897600,1.1430409710e-08,3.5452674528e-01
SOPP,0.10,0.75,0.0000,1,true,29,59,0.336084600,1.1963733930e-10,3.2904890913e-02
SDLP,0.10,0.75,0.0000,1,true,14,31,0.174298900,1.1944042078e-10,3.2877799660e-02
MOPCGM,0.10,0.75,0.0000,1,true,221,442,2.744460600,1.1981230575e-10,3.2928943389e-02
CGPM,0.10,0.75,0.0000,1,true,56,132,0.755962000,1.1735865978e-10,3.2590021957e-02
STTDFPM,0.10,0.75,0.0000,1,true,24,64,0.372297500,1.1710327261e-10,3.2554542655e-02
SOPP,0.10,0.75,0.0000,2,true,32,65,0.369602800,9.2318812544e-11,2.9802788622e-02
SDLP,0.10,0.75,0.0000,2,true,17,35,0.231405400,9.1417496907e-11,2.9656948333e-02
MOPCGM,0.10,0.75,0.0000,2,true,249,498,2.993578300,9.2464154631e-11,2.9826239400e-02
CGPM,0.10,0.75,0.0000,2,true,71,165,0.940567200,8.8949650262e-11,2.9253909944e-02
STTDFPM,0.10,0.75,0.0000,2,true,28,66,0.370598100,9.1557061161e-11,2.9679577870e-02
SOPP,0.10,0.75,0.0000,3,true,29,58,0.329971800,1.2213636037e-10,3.5452776331e-02
SDLP,0.10,0.75,0.0000,3,true,14,30,0.168269000,1.2054291016e-10,3.5220750004e-02
MOPCGM,0.10,0.75,0.0000,3,true,218,436,2.664804100,1.2201437478e-10,3.5435067401e-02
CGPM,0.10,0.75,0.0000,3,true,54,130,0.735001000,1.1734949816e-10,3.4751086072e-02
STTDFPM,0.10,0.75,0.0000,3,true,21,56,0.312803700,1.1938308614e-10,3.5050899250e-02
SOPP,0.10,0.75,0.0000,4,true,27,55,0.312672400,1.4025454161e-10,3.5854983567e-02
SDLP,0.10,0.75,0.0000,4,true,13,27,0.150348200,1.3888560657e-10,3.5679575705e-02
MOPCGM,0.10,0.75,0.0000,4,true,204,408,2.489007900,1.4015983013e-10,3.5842875396e-02
CGPM,0.10,0.75,0.0000,4,true,50,122,0.700489000,1.3598211159e-10,3.5304653354e-02
STTDFPM,0.10,0.75,0.0000,4,true,21,60,0.347470500,1.3816854138e-10,3.5587349840e-02
SOPP,0.10,0.75,0.0000,5,true,28,56,0.319047100,1.2601407590e-10,3.7224393838e-02
